filename,HC_mm,pixel_size_mm
alk099.png,175.352,0.383339
alk100.png,70.229,0.209793
alk101.png,188.507,0.331867
alk102.png,183.764,0.372663
alk103.png,178.096,0.367757
alk104.png,224.366,0.369739
alk105.png,63.872,0.189199
alk106.png,176.785,0.328444
alk107.png,227.576,0.312658
alk108.png,62.965,0.063757
alk109.png,342.924,0.371859
alk110.png,206.474,0.386754
alk111.png,207.374,0.381789
alk112.png,181.823,0.273233
alk113.png,185.949,0.289564
alk114.png,176.934,0.346563
alk115.png,219.571,0.378275
alk116.png,192.345,0.354347
alk117.png,195.203,0.359728
alk118.png,190.031,0.349455
alk119.png,128.22,0.336312
alk120.png,175.21,0.389947
alk121.png,232.731,0.338107
alk122.png,219.049,0.373715
alk123.png,113.558,0.269791
alk124.png,227.77,0.341525
alk125.png,179.77,0.300864
alk126.png,195.77,0.374343
alk127.png,228.546,0.32604
alk128.png,75.172,0.226522
alk129.png,76.695,0.201197
alk130.png,197.338,0.383888
alk131.png,200.365,0.301533
alk132.png,53.7,0.156223
alk133.png,198.212,0.367559
alk134.png,249.067,0.343076
alk135.png,218.81,0.371655
alk136.png,102.277,0.316255
alk137.png,203.597,0.381234
alk138.png,199.077,0.379145
alk139.png,191.187,0.371692
alk140.png,196.177,0.332777
alk141.png,69.402,0.13073
alk142.png,78.841,0.222951
alk143.png,201.961,0.342909
alk144.png,193.711,0.354594
alk145.png,210.206,0.296593
alk146.png,184.452,0.329812
alk147.png,343.652,0.301966
alk148.png,212.045,0.345505
alk149.png,182.936,0.242283
alk150.png,253.097,0.378024
alk151.png,182.045,0.308285
alk152.png,238.796,0.364808
alk153.png,198.772,0.38107
alk154.png,226.552,0.389437
alk155.png,233.765,0.344689
alk156.png,184.752,0.386349
alk157.png,73.667,0.107958
alk158.png,188.32,0.291892
alk159.png,50.393,0.15252
alk160.png,253.046,0.380391
alk161.png,96.153,0.312066
alk162.png,191.814,0.360899
alk163.png,212.023,0.37926
alk164.png,195.233,0.355566
alk165.png,228.328,0.377738
alk166.png,205.774,0.365406
alk167.png,69.141,0.109746
alk168.png,213.25,0.359968
alk169.png,50.578,0.18292
alk170.png,213.865,0.3535
alk171.png,199.202,0.389589
alk172.png,63.664,0.097491
alk173.png,202.975,0.249388
alk174.png,296.275,0.291466
alk175.png,238.309,0.376039
alk176.png,179.398,0.355275
alk177.png,181.224,0.379136
alk178.png,200.446,0.288403
alk179.png,211.944,0.38853
alk180.png,92.195,0.358365
alk181.png,176.029,0.283503
alk182.png,148.327,0.381665
alk183.png,225.247,0.330173
alk184.png,184.425,0.385184
alk185.png,181.121,0.297961
alk186.png,184.375,0.367394
alk187.png,189.545,0.340096
alk188.png,228.043,0.374612
alk189.png,188.529,0.389945
alk190.png,213.094,0.312582
alk191.png,227.259,0.315646
alk192.png,196.238,0.381877
alk193.png,223.032,0.353938
alk194.png,178.458,0.377181
alk195.png,180.275,0.353972
alk196.png,212.215,0.344094
alk197.png,343.889,0.338348
alk198.png,183.301,0.384212
alk199.png,103.557,0.290337
alk200.png,226.485,0.385574
alk201.png,201.699,0.332495
alk202.png,176.699,0.381673
alk203.png,62.287,0.092727
alk204.png,175.735,0.38991
alk205.png,182.553,0.324045
alk206.png,208.945,0.309272
alk207.png,125.826,0.316042
alk208.png,204.335,0.35528
alk209.png,192.841,0.376773
alk210.png,202.978,0.377249
alk211.png,181.99,0.356987
alk212.png,191.49,0.371004
alk213.png,202.075,0.284401
alk214.png,186.146,0.311217
alk215.png,62.341,0.087447
alk216.png,345.545,0.365832
alk217.png,188.228,0.290303
alk218.png,178.312,0.290271
alk219.png,188.801,0.383193
alk220.png,77.086,0.208813
alk221.png,250.798,0.3351
alk222.png,76.957,0.06779
alk223.png,60.628,0.147282
alk224.png,181.219,0.268039
alk225.png,195.976,0.334083
alk226.png,101.028,0.298533
alk227.png,210.317,0.333048
alk228.png,178.345,0.347685
alk229.png,183.662,0.363819
alk230.png,222.742,0.33795
alk231.png,180.751,0.373336
alk232.png,182.857,0.365034
alk233.png,196.054,0.324245
alk234.png,112.417,0.335808
alk235.png,178.346,0.38883
alk236.png,176.672,0.303728
alk237.png,136.067,0.313885
alk238.png,205.226,0.330267
alk239.png,207.006,0.298576
alk240.png,221.951,0.384484
alk241.png,195.058,0.388036
alk242.png,186.9,0.343821
alk243.png,215.901,0.389766
alk244.png,180.766,0.344084
alk245.png,74.316,0.349766
alk246.png,220.206,0.335349
alk247.png,213.633,0.287751
alk248.png,196.185,0.292518
alk249.png,176.235,0.389008
alk250.png,210.758,0.377807
alk251.png,178.164,0.379013
alk252.png,189.855,0.371568
alk253.png,235.987,0.38468
alk254.png,213.242,0.34246
alk255.png,179.823,0.281592
alk256.png,61.102,0.107648
alk257.png,183.991,0.340442
alk258.png,224.956,0.337247
alk259.png,60.742,0.103909
alk260.png,191.066,0.33992
alk261.png,182.042,0.214814
alk262.png,190.859,0.372919
alk263.png,176.284,0.383133
alk264.png,67.768,0.219031
alk265.png,203.028,0.369794
alk266.png,61.44,0.082407
alk267.png,196.305,0.380888
alk268.png,205.707,0.349777
alk269.png,189.501,0.365169
alk270.png,53.673,0.176282
alk271.png,285.534,0.38834
alk272.png,195.757,0.305112
alk273.png,72.662,0.19775
alk274.png,199.696,0.364806
alk275.png,189.366,0.333453
alk276.png,213.872,0.315397
alk277.png,186.643,0.365063
alk278.png,295.832,0.389597
alk279.png,76.222,0.066144
alk280.png,179.57,0.351099
alk281.png,185.383,0.354661
alk282.png,179.417,0.305782
alk283.png,182.949,0.31828
alk284.png,148.427,0.365865
alk285.png,69.416,0.098611
alk286.png,201.003,0.360644
alk287.png,180.343,0.3309
alk288.png,175.082,0.389726
alk289.png,160.434,0.377845
alk290.png,58.289,0.150269
alk291.png,192.4,0.354989
alk292.png,177.022,0.387844
alk293.png,103.06,0.246674
alk294.png,187.948,0.316405
alk295.png,200.417,0.29937
alk296.png,186.661,0.315476
alk297.png,201.573,0.3898
alk298.png,189.403,0.300212
alk299.png,203.751,0.351656
alk300.png,197.16,0.388879
alk301.png,223.917,0.347628
alk302.png,187.17,0.369222
alk303.png,66.13,0.181484
alk304.png,179.172,0.387922
alk305.png,197.46,0.304676
alk306.png,188.688,0.386858
alk307.png,188.21,0.272028
alk308.png,125.492,0.378129
alk309.png,117.865,0.372007
alk310.png,193.608,0.271456
alk311.png,205.031,0.338058
alk312.png,178.593,0.287621
alk313.png,185.753,0.28045
alk314.png,88.608,0.34368
alk315.png,199.242,0.379687
alk316.png,192.554,0.385093
alk317.png,185.418,0.330107
alk318.png,181.53,0.373127
alk319.png,64.291,0.070152
alk320.png,195.488,0.379324
alk321.png,206.596,0.384547
alk322.png,205.35,0.302441
alk323.png,221.433,0.322729
alk324.png,185.693,0.290594
alk325.png,176.077,0.389513
alk326.png,178.386,0.335888
alk327.png,186.271,0.342328
alk328.png,207.861,0.358168
alk329.png,191.064,0.325701
alk330.png,204.828,0.309474
alk331.png,60.769,0.087913
alk332.png,98.538,0.309846
alk333.png,195.937,0.335532
alk334.png,212.692,0.346619
alk335.png,219.533,0.383223
alk336.png,185.497,0.365747
alk337.png,198.934,0.341936
alk338.png,179.775,0.308288
alk339.png,79.67,0.205684
alk340.png,184.902,0.277607
alk341.png,308.673,0.324989
alk342.png,175.082,0.389541
alk343.png,193.068,0.375279
alk344.png,187.754,0.271731
alk345.png,220.333,0.386355
alk346.png,177.464,0.384643
alk347.png,62.843,0.170406
alk348.png,211.444,0.360081
alk349.png,179.966,0.362482
alk350.png,85.861,0.26202
alk351.png,191.073,0.373759
alk352.png,188.355,0.336132
alk353.png,179.984,0.372631
alk354.png,176.655,0.333781
alk355.png,153.565,0.381931
alk356.png,204.068,0.337194
alk357.png,217.488,0.365904
alk358.png,199.171,0.36641
alk359.png,122.762,0.357925
alk360.png,218.617,0.369225
alk361.png,180.221,0.284269
alk362.png,115.718,0.317103
alk363.png,177.024,0.361113
alk364.png,175.332,0.389881
alk365.png,175.457,0.334119
alk366.png,336.958,0.345197
alk367.png,198.146,0.340908
alk368.png,185.874,0.33388
alk369.png,185.982,0.28054
alk370.png,57.685,0.12968
alk371.png,107.922,0.26984
alk372.png,189.867,0.383793
alk373.png,189.935,0.318201
alk374.png,195.482,0.353693
alk375.png,175.975,0.389146
alk376.png,248.292,0.346688
alk377.png,107.718,0.24142
alk378.png,337.583,0.262823
alk379.png,180.329,0.330597
alk380.png,207.848,0.328755
alk381.png,185.44,0.30229
alk382.png,206.002,0.37059
alk383.png,178.779,0.389719
alk384.png,175.519,0.332078
alk385.png,64.035,0.105704
alk386.png,180.926,0.339877
alk387.png,175.876,0.366171
alk388.png,73.549,0.075474
alk389.png,193.809,0.363949
alk390.png,188.46,0.356964
alk391.png,122.799,0.386846
alk392.png,187.379,0.255618
alk393.png,177.816,0.340493
alk394.png,113.985,0.333259
alk395.png,185.31,0.300589
alk396.png,304.176,0.333405
alk397.png,218.74,0.345799
alk398.png,175.327,0.381495
alk399.png,101.915,0.32306
alk400.png,180.544,0.285272
